,CNT,SUBNATIO,STRATUM,OECD,NC,SCHOOLID,STIDSTD,PA01Q01,PA01Q02,PA01Q03,PA02Q01,PA02Q02,PA03Q01,PA03Q02,PA03Q03,PA03Q04,PA05Q01,PA05Q02,PA05Q03,PA05Q04,PA07Q01,PA08Q01,PA09Q01,PA09Q02,PA09Q03,PA09Q04,PA09Q05,PA09Q06,PA09Q07,PA10Q01,PA10Q02,PA10Q03,PA10Q04,PA10Q05,PA10Q06,PA10Q07,PA10Q08,PA10Q09,PA10Q10,PA10Q11,PA11Q01,PA12Q01,PA12Q02,PA12Q03,PA12Q04,PA12Q05,PA12Q06,PA12Q07,PA12Q08,PA12Q09,PA12Q10,PA12Q11,PA13Q01,PA13Q02,PA13Q03,PA13Q04,PA13Q05,PA13Q06,PA13Q07,PA14Q01,PA14Q02,PA14Q03,PA14Q04,PA15Q01,PA15Q02,PA15Q03,PA15Q04,PA15Q05,PA18Q01,PA18Q02,PA18Q03,PA19Q01,PA19Q02,PA19Q03,PA19Q04,PA19Q05,PA19Q06,PA21Q01,PA21Q02,PA21Q03,PA21Q04,PA21Q05,PA21Q06,PA22Q01,PA23Q01,PA24N0101,PA24N0102,PA24N0103,PA24N0104,PA24N0105,PA24N0106,PA24N0107,PA24N0108,PA24N0109,PA24N0110,PA24N0111,PA24N0112,PA24N0113,PA24N0201,PA24N0202,PA24N0203,PA24N0204,PA24N0205,PA24N0206,PA24N0207,PA24N0208,PA24N0209,PA24N0210,PA24N0211,PA24N0212,PA24N0213,PA25Q01,PA25Q02,OCOD3,OCOD4,OCOD5,PARINVOL,PARSUPP,PQBFMJ,PQBMMJ,PQCITIZF,PQCITIZM,PQCOB_F,PQCOB_M,PQCOB_MGM,PQCOB_MGF,PQCOB_PGM,PQCOB_PGF,PQEDASP,PQFISCED,PQHISCED,PQHISEI,PQIMMIGF,PQIMMIGM,PQLANGNF,PQLANGNM,PQMCAR,PQMIMP,PQMISCED,PQOCCASP,PQSCHOOL,SENWGT_PAQ,VER_PAQ
10632,Germany,2760000,DEU0215,OECD,Germany,1,1,Tick,No tick,No tick,51 years or older,46 � 50 years,,,Yes,,,,Yes,,,<$W or more but less than $X>,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Two or more,Important,Important,Important,Somewhat important,Important,Not important,Not important,Important,Important,Important,Important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a week,Every day or almost every day,Every day or almost every day,Every day or almost every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,"Yes, Once",,,Tick,No tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,,Shop sales assistants,"Concrete placers, concrete finishers and related workers",Missing,0.315,2.2387,21.96,28.48,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 1,3.0,3.0,28.48,1.0,1.0,Missing,Missing,-1.2159,1.2956,3.0,,-1.8317,0.3223,22NOV13
10633,Germany,2760000,DEU0215,OECD,Germany,1,3,Tick,No tick,No tick,51 years or older,51 years or older,No,Yes,No,,No,No,No,,,<More than $0 but less than $W>,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No others,Important,Important,Important,Somewhat important,Important,Important,Important,Somewhat important,Important,Important,Very important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a year,Once or twice a month,Once or twice a year,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,,"Yes, Once",,Tick,No tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Child care workers,Valuers and loss assessors,Missing,0.315,-0.1412,57.68,24.98,,,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 1,2.0,2.0,57.68,1.0,1.0,German ,German ,-1.2159,1.2956,0.0,,-0.8397,0.3223,22NOV13
10634,Germany,2760000,DEU0215,OECD,Germany,1,8,Tick,No tick,No tick,46 � 50 years,46 � 50 years,No,No,No,,No,No,No,,,Nothing,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,No,No,No,No,No,No,No,No,No,No,No others,Very important,Somewhat important,Important,Not important,Not important,Not important,Somewhat important,Important,Very important,Important,Important,Once or twice a month,Every day or almost every day,Every day or almost every day,Once or twice a year,Once or twice a month,Once or twice a year,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,No tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Regulatory government associate professionals not elsewhere ,Accounting and bookkeeping clerks,Do not know,-0.6314,-0.3004,50.37,64.4,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 1,0.0,0.0,64.4,1.0,1.0,German ,German ,-1.2159,1.2956,0.0,,-1.657,0.3223,22NOV13
10635,Germany,2760000,DEU0215,OECD,Germany,1,14,Tick,No tick,No tick,46 � 50 years,46 � 50 years,,,,,,,Yes,,,<$X or more but less than $Y>,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No others,Not important,Important,Very important,Not important,Somewhat important,Not important,Not important,Very important,Very important,Very important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Every day or almost every day,Every day or almost every day,Once or twice a month,Once or twice a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,"Yes, Once","No, Never",,Tick,Tick,No tick,Tick,Tick,No tick,Country of test,Other country,Other country,Other country,Other country,Other country,21,9998,Not selected,Greece ,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Greece ,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,,Accounting and bookkeeping clerks,Personal service workers,Missing,1.9195,1.0539,27.57,50.37,3.0,3.0,Greece ,Germany,Greece ,Greece ,Greece ,Greece ,ISCED 5B,,3.0,50.37,3.0,2.0,Invalid,Invalid,0.0485,1.2956,3.0,,-1.0793,0.3223,22NOV13
10636,Germany,2760000,DEU0215,OECD,Germany,1,15,Tick,No tick,No tick,46 � 50 years,51 years or older,Yes,No,No,,Yes,No,Yes,,<$E> or more,<$Y or more but less than $Z>,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,No,No,No,No,No,No,No,Yes,No,No,No others,Important,Very important,Very important,Not important,Somewhat important,Not important,Not important,Not important,Very important,Important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Never or hardly ever,Once or twice a week,Never or hardly ever,Never or hardly ever,Agree,Agree,Agree,Agree,Yes,No,No,No,No,"No, Never","No, Never",,Tick,Tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Medical doctors,Dentists,Do not know,-0.1254,-0.4659,88.31,88.7,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 2,1.0,3.0,88.7,1.0,1.0,German ,German ,-0.4243,-0.4255,3.0,,-2.1813,0.3508,22NOV13
10637,Germany,2760000,DEU0215,OECD,Germany,1,16,No tick,Tick,No tick,41 � 45 years,41 � 45 years,No,Yes,No,,No,No,No,,<$B> or more but less than <$C>,<$W or more but less than $X>,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Yes,No,No,No,No,No,No,No,Yes,No,No,No others,Very important,Very important,Very important,Not important,Important,Not important,Not important,Not important,Very important,Very important,Very important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Never or hardly ever,Every day or almost every day,Once or twice a month,Every day or almost every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,No,No,No,"Yes, Once","No, Never",,Tick,No tick,Tick,No tick,Tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Shop sales assistants,Fire-fighters,Missing,-0.1254,0.646,46.38,28.48,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 5B,2.0,2.0,46.38,1.0,1.0,German ,German ,-0.4243,1.2956,0.0,,-1.4771,0.3223,22NOV13
10638,Germany,2760000,DEU0215,OECD,Germany,1,17,Tick,No tick,No tick,41 � 45 years,41 � 45 years,No,No,No,,No,No,Yes,,<$D> or more but less than <$E>,<$W or more but less than $X>,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,No,No,No,No,No,No,No,No,No,No others,Important,Important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Important,Important,Important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a week,Once or twice a week,Once or twice a month,Once or twice a month,Strongly agree,Agree,Strongly agree,Strongly agree,No,No,No,No,No,"No, Never","No, Never",,Tick,No tick,No tick,Tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Government tax and excise officials,Motor vehicle mechanics and repairers,"Vague(a good job, a quiet job, a well paid job, an office jo",-1.4809,0.4764,30.78,67.11,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,"ISCED 3A, ISCED 4",0.0,3.0,67.11,1.0,1.0,German ,German ,-1.2159,0.7791,3.0,,-1.4771,0.3223,22NOV13
10639,Germany,2760000,DEU0215,OECD,Germany,1,21,Tick,No tick,No tick,,36 � 40 years,No,No,No,,No,No,No,,<$E> or more,<$W or more but less than $X>,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,No,No,No,No,No,No,No,Yes,No,No others,Very important,Important,Important,Somewhat important,Not important,Not important,Important,Not important,Important,Very important,Very important,Once or twice a week,Every day or almost every day,Every day or almost every day,Once or twice a month,Once or twice a month,Never or hardly ever,Once or twice a year,Agree,Disagree,Agree,Agree,Yes,Yes,No,No,No,"No, Never","Yes, Once",,Tick,Tick,No tick,No tick,No tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9999,9998,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Language of test,Language of test,Accounting and bookkeeping clerks,Undertakers and embalmers,Do not know,-0.1254,-0.3004,34.25,50.37,1.0,1.0,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 2,0.0,0.0,50.37,1.0,1.0,German ,German ,0.0485,-0.9553,0.0,,-0.536,0.3223,22NOV13
10640,Germany,2760000,DEU0215,OECD,Germany,1,22,No tick,Tick,No tick,46 � 50 years,41 � 45 years,,Yes,Yes,,,Yes,,,,<$X or more but less than $Y>,,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,No,No,No,No,No,No,Yes,No,No,,Important,Very important,Important,Somewhat important,,Important,Somewhat important,,Important,Important,Very important,Once or twice a month,Once or twice a week,Every day or almost every day,Once or twice a year,Once or twice a month,Once or twice a year,Once or twice a year,Strongly agree,Strongly agree,Agree,Strongly agree,No,Yes,No,No,No,"No, Never","No, Never",,Tick,Tick,No tick,Tick,Tick,No tick,Country of test,Country of test,Country of test,Country of test,Country of test,Country of test,9998,9998,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,,Housewife,Production clerks,Missing,-0.1254,-0.6372,41.63,,,,Germany,Germany,Germany,Germany,Germany,Germany,ISCED 5B,3.0,3.0,41.63,1.0,1.0,Missing,Missing,-0.4243,0.7791,2.0,,-0.0738,0.3508,22NOV13
10641,Germany,2760000,DEU0102,OECD,Germany,2,27,Tick,No tick,No tick,46 � 50 years,36 � 40 years,Yes,Yes,Yes,,Yes,,,,,<$X or more but less than $Y>,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,No,Yes,No,No,No,No,No,No,No,No others,Important,Very important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,Important,Important,Every day or almost every day,Every day or almost every day,Every day or almost every day,Never or hardly ever,Once or twice a month,Once or twice a year,Never or hardly ever,Agree,Agree,Agree,Agree,Yes,No,No,No,No,"No, Never","No, Never",,No tick,No tick,No tick,No tick,No tick,No tick,Other country,Other country,Other country,Other country,Other country,Other country,22,20,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Germany,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other language,Other language,Graphic and multimedia designers,Buyers,Missing,-0.6314,-0.4659,56.35,79.74,1.0,1.0,Serbia ,Serbia ,Serbia ,Serbia ,Serbia ,Serbia ,,3.0,3.0,79.74,3.0,3.0,Serbian,Serbian,-0.4243,-0.4255,1.0,,-1.2871,0.3452,22NOV13
