,CNT,SUBNATIO,STRATUM,OECD,NC,SCHOOLID,SC01Q01,SC02Q01,SC02Q02,SC02Q03,SC02Q04,SC03Q01,SC04Q01,SC05Q01,SC07Q01,SC07Q02,SC09Q11,SC09Q12,SC09Q21,SC09Q22,SC09Q31,SC09Q32,SC10Q11,SC10Q12,SC10Q61,SC10Q62,SC10Q21,SC10Q22,SC10Q41,SC10Q42,SC10Q51,SC10Q52,SC11Q01,SC11Q02,SC11Q03,SC13Q01,SC13Q02,SC13Q03,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC14Q12,SC14Q13,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC16Q05,SC16Q06,SC16Q07,SC16Q08,SC16Q09,SC16Q10,SC16Q11,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC20Q01,SC21Q05,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC22Q07,SC22Q08,SC22Q09,SC22Q10,SC22Q11,SC22Q12,SC22Q13,SC22Q14,SC22Q15,SC22Q16,SC22Q17,SC22Q18,SC22Q19,SC23Q01,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC25Q04,SC25Q05,SC25Q06,SC25Q07,SC25Q08,SC25Q09,SC25Q10,SC25Q11,SC25Q12,SC26Q01,SC26Q02,SC26Q03,SC26Q04,SC27Q01,SC27Q02,SC28Q01,SC28Q02,SC29Q01,SC29Q02,SC30Q01,SC30Q02,SC30Q03,SC30Q04,SC31Q01,SC31Q02,SC31Q03,SC31Q04,SC31Q05,SC31Q06,SC31Q07,SC32Q01,SC32Q03,SC32Q04,SC32Q05,SC32Q06,SC32Q07,SC32Q08,SC33Q01A,SC33Q01B,SC33Q01C,SC33Q01D,SC33Q01E,SC33Q02A,SC33Q02B,SC33Q02C,SC33Q02D,SC33Q02E,SC33Q03A,SC33Q03B,SC33Q03C,SC33Q03D,SC33Q03E,SC33Q04A,SC33Q04B,SC33Q04C,SC33Q04D,SC33Q04E,SC33Q05A,SC33Q05B,SC33Q05C,SC33Q05D,SC33Q05E,SC33Q06A,SC33Q06B,SC33Q06C,SC33Q06D,SC33Q06E,SC33Q07A,SC33Q07B,SC33Q07C,SC33Q07D,SC33Q07E,SC33Q08A,SC33Q08B,SC33Q08C,SC33Q08D,SC33Q08E,SC33Q09A,SC33Q09B,SC33Q09C,SC33Q09D,SC33Q09E,SC33Q10A,SC33Q10B,SC33Q10C,SC33Q10D,SC33Q10E,SC33Q11A,SC33Q11B,SC33Q11C,SC33Q11D,SC33Q11E,SC33Q12A,SC33Q12B,SC33Q12C,SC33Q12D,SC33Q12E,SC34Q01,SC34Q02,SC34Q03,SC34Q04,SC34Q05,SC34Q06,SC34Q07,SC34Q08,SC34Q09,SC34Q10,SC34Q11,SC34Q12,SC34Q13,SC34Q14,SC34Q15,SC34Q16,SC34Q17,SC34Q18,SC34Q19,SC34Q20,SC34Q22,SC35Q01,SC35Q02,SC39Q01,SC39Q02,SC39Q03,SC39Q05,SC39Q06,SC39Q07,SC39Q08,SC39Q09,SC39Q10,SC40Q01,SC40Q02,SC40Q03,SC44Q01,SC44Q02,SC44Q03,SC44Q04,SC44Q05,SC44Q06,SC47Q01,SC45Q01,SC46Q01,SC46Q02,SC46Q03,SC46Q05,SC46Q04,SC46Q06,SC46Q09,SC52Q01,SC46Q07,SC46Q08,SC52Q02,SC51Q01,SC51Q02,ABGMATH,ASSESS,CLSIZE,COMPWEB,CREACTIV,LEADCOM,LEADINST,LEADPD,LEADTCH,MACTIV,MATHEXC,PCGIRLS,PROPCERT,PROPMA5A,PROPMATH,PROPQUAL,RATCMP15,RESPCUR,RESPRES,SCHAUTON,SCHLTYPE,SCHSEL,SCHSIZE,SCMATBUI,SCMATEDU,SMRATIO,STRATIO,STUDCLIM,TCFOCST,TCHPARTI,TCMORALE,TCSHORT,TEACCLIM,W_FSCHWT,SENWGT_SCQ,VER_SCQ
7517,France,2500000,FRA0001,OECD,France ,1,Public,,,,,Town,Two or More,4,557.0,501.0,110.0,15.0,82.0,10.0,110.0,15.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,210.0,60.0,60.0,<10%,10-25%,10-25%,Very little,Very little,Very little,To some extent,Very little,Not at all,To some extent,To some extent,To some extent,A lot,To some extent,A lot,Very little,Not for any classes,Not for any classes,For some classes,For all classes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Both enrichment and remedial,To some extent,To some extent,To some extent,Very little,Very little,Very little,To some extent,Very little,Very little,Very little,A lot,Very little,Not at all,To some extent,To some extent,A lot,To some extent,Very little,Very little,5.0,Largely absent,40.0,50.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Yes,Yes,No,Yes,A moderate change,No change,No change,A moderate change,A small change,No change,A small change,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,Once a month,3-4 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,Once a month,1-2 times during the year,Once a month,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,1-2 times during the year,Did not occur,1-2 times during the year,1-2 times during the year,0.0,0.0,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Not likely,Not likely,Not likely,Not likely,Likely,Not likely,Available > 2 years,Yes,5-19 hours year,Not at all,5-19 hours year,Not at all,Not at all,5-19 hours year,Not at all,Yes,No,No,No,0.0,0.0,No ability grouping between any classes,4.0,28.0,1.0,1.0,-0.6467,-1.6346,-0.6241,-1.4684,2.0,Both enrichment and remedial,0.474,0.74,,0.051,1.0,0.286,-0.81,-0.77,-0.6029,3.0,Two factors are never considered,1058.0,-1.0894,-0.87,176.333,9.004,-1.0211,-2.336,0.7801,-1.8308,0.9454,-1.3144,15.566,1.3691,22NOV13
7518,France,2500000,FRA0001,OECD,France ,2,Private,,,,,Town,Two or More,3,784.0,29.0,116.0,12.0,45.0,3.0,,,16.0,3.0,,,,,,,,,177.0,,,<10%,<10%,26-50%,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,Not at all,Not for any classes,Not for any classes,Not for any classes,For all classes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Remedial only,Very little,Very little,Very little,Very little,Very little,To some extent,Very little,Very little,Not at all,Very little,A lot,Very little,Not at all,Very little,Very little,Very little,Very little,Very little,Very little,,Largely absent,5.0,10.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,No,No,No,No change,No change,No change,No change,A moderate change,No change,No change,Always,Always,Never,Never,Sometimes,Never,Never,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,Once a week,1-2 times during the year,1-2 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,Once a week,3-4 times during the year,More than once a week,3-4 times during the year,3-4 times during the year,Did not occur,Once a week,3-4 times during the year,Did not occur,1-2 times during the year,1-2 times during the year,1-2 times during the year,Did not occur,Did not occur,1-2 times during the year,10.0,0.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Likely,Not likely,Very likely,Very likely,Very likely,Likely,Not available,Yes,20-49 hours a year,Not at all,20-49 hours a year,1-4 hours a year,1-4 hours a year,Not at all,Not at all,Yes,No,No,No,0.0,0.0,No ability grouping between any classes,4.0,23.0,,0.0,-1.3694,-0.8328,0.6627,-1.4684,2.0,Either enrichment and remedial,0.036,0.381,,0.143,,,1.44,-0.46,-0.0586,,At least one always considered,813.0,1.3052,1.1619,46.457,6.664,-0.3977,1.2831,0.2924,-0.7371,-1.0911,-0.4382,27.3556,2.4061,22NOV13
7519,France,2500000,FRA0006,OECD,France ,3,Public,,,,,Village,No Others,4,45.0,56.0,5.0,8.0,5.0,5.0,5.0,8.0,1.0,1.0,,1.0,1.0,,,,,,28.0,25.0,25.0,10-25%,10-25%,>75%,Not at all,Not at all,Not at all,To some extent,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,,,,For all classes,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,To some extent,Not at all,Not at all,Not at all,Not at all,Very little,Very little,Not at all,Not at all,5.0,Largely absent,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,A moderate change,A moderate change,A moderate change,A moderate change,A large change,A large change,A large change,Never,Sometimes,Never,Never,Never,Always,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,Once a month,3-4 times during the year,More than once a week,More than once a week,1-2 times during the year,Once a week,1-2 times during the year,More than once a week,More than once a week,More than once a week,More than once a week,More than once a week,More than once a week,3-4 times during the year,3-4 times during the year,3-4 times during the year,Did not occur,3-4 times during the year,Did not occur,3-4 times during the year,3-4 times during the year,75.0,100.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Not likely,Not likely,Likely,Likely,Likely,Likely,,,,,,,,,,,,,,,,,,28.0,1.0,,0.8948,0.493,0.1183,2.258,,,0.554,0.833,0.667,0.167,1.0,0.893,-0.53,-0.77,-0.6029,3.0,At least one sometimes but neither always,101.0,1.3052,0.7524,67.333,11.222,2.752,2.1197,-0.5646,1.4452,0.1524,0.8778,143.2586,12.6005,22NOV13
7520,France,2500000,FRA0001,OECD,France ,4,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.81,-0.36,,,,,,,,,,,,,,,39.5136,3.4755,22NOV13
7521,France,2500000,FRA0001,OECD,France ,5,Public,,,,,Town,One Other,5,371.0,470.0,64.0,26.0,64.0,26.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,310.0,200.0,200.0,10-25%,<10%,26-50%,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not for any classes,Not for any classes,For some classes,Not for any classes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Without differentiation,Very little,Very little,Very little,Very little,Not at all,Very little,Very little,Not at all,Not at all,Not at all,To some extent,Very little,Not at all,To some extent,Very little,To some extent,Very little,Very little,Not at all,0.5,Minority of Parents,,,,,,,,0.0,0.0,,0.0,0.0,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,No,No,Yes,A small change,No change,A large change,A small change,A large change,A small change,A small change,Sometimes,Never,Never,Never,Sometimes,Always,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,More than once a week,More than once a week,3-4 times during the year,Once a month,1-2 times during the year,Once a month,More than once a week,More than once a week,Once a week,Once a month,Once a month,3-4 times during the year,Once a week,Once a month,Once a month,Once a month,Did not occur,3-4 times during the year,Did not occur,Did not occur,3-4 times during the year,,,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Not likely,Not likely,Likely,Likely,Not likely,Not likely,Available > 2 years,,Not at all,Not at all,50 or more hours a year,Not at all,Not at all,Not at all,Not at all,Yes,No,No,No,,,No ability grouping between any classes,5.0,33.0,1.0,2.0,0.7162,0.2753,0.6627,-0.0388,2.0,Neither enrichment or remedial,0.559,1.0,,0.117,0.0,0.645,0.03,-0.79,-0.6029,3.0,At least one sometimes but neither always,841.0,1.3052,1.976,93.444,10.922,0.3493,-3.7944,0.2924,0.0826,-1.0911,-0.2762,13.3249,1.172,22NOV13
7522,France,2500000,FRA0005,OECD,France ,6,Private,,,,,Town,One Other,4,559.0,595.0,43.0,54.0,40.0,47.0,37.0,54.0,10.0,1.0,9.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,246.0,125.0,125.0,10-25%,26-50%,26-50%,Not at all,Not at all,Not at all,Not at all,To some extent,Not at all,To some extent,Not at all,Very little,Not at all,Very little,Not at all,Very little,Not for any classes,Not for any classes,For some classes,Not for any classes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Remedial only,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Very little,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,0.4,Minority of Parents,25.0,95.0,100.0,95.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,No,No,No,Yes,No change,No change,A small change,A small change,A small change,A moderate change,A moderate change,Never,Never,Sometimes,Sometimes,Sometimes,Never,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1-2 times during the year,Did not occur,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,3-4 times during the year,Did not occur,1-2 times during the year,Did not occur,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,Did not occur,1-2 times during the year,Did not occur,Did not occur,Did not occur,0.0,0.0,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Not likely,Not likely,Not likely,Not likely,Likely,Not likely,Not available,,,,,,,,,,,,,,,No ability grouping between any classes,5.0,28.0,1.0,1.0,-1.3694,-1.6346,-1.4262,-3.0551,1.0,Either enrichment and remedial,0.516,0.907,0.81,0.15,0.914,0.508,1.44,-0.46,-0.0586,2.0,Two factors are never considered,1154.0,0.1539,0.018,109.905,16.486,1.958,0.0095,0.7801,0.0826,-1.0911,1.145,107.3,9.4377,22NOV13
7523,France,2500000,FRA0001,OECD,France ,7,Private,,,,,Small Town,No Others,4,245.0,286.0,31.0,28.0,21.0,18.0,10.0,10.0,2.0,5.0,0.0,0.0,,,0.0,0.0,1.0,0.0,191.0,150.0,150.0,<10%,10-25%,10-25%,Very little,Not at all,To some extent,To some extent,Very little,Very little,To some extent,Very little,Very little,Very little,To some extent,Not at all,To some extent,Not for any classes,For some classes,Not for any classes,For all classes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Both enrichment and remedial,Very little,Very little,Very little,Very little,Very little,Very little,To some extent,Very little,Very little,Very little,To some extent,To some extent,Very little,Very little,Very little,To some extent,Very little,Very little,Very little,0.2,Minority of Parents,20.0,10.0,20.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,No,Yes,No,Yes,No change,No change,A moderate change,A small change,No change,A moderate change,A moderate change,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3-4 times during the year,3-4 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,Did not occur,1-2 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,1-2 times during the year,Did not occur,Did not occur,1-2 times during the year,0.0,0.0,No,No,No,No,No,No,No,Yes,No,No,Yes,,Likely,Not likely,Likely,Very likely,Very likely,Not likely,Not available,No,Not at all,Not at all,1-4 hours a year,Not at all,Not at all,Not at all,Not at all,No,No,No,No,0.0,0.0,One of these forms of ability grouping between classes for s,3.0,28.0,1.0,0.0,-0.9829,-0.8328,-1.4262,-1.4684,3.0,Both enrichment and remedial,0.539,0.667,,0.1,0.333,0.785,1.44,-0.23,0.3196,2.0,At least one always considered,531.0,-0.4622,-0.3482,118.0,11.8,-0.3977,-0.6748,0.7801,-0.7371,0.9454,-0.8958,24.192,2.1278,22NOV13
7524,France,2500000,FRA0002,OECD,France ,8,Private,,,,,Town,Two or More,4,582.0,557.0,69.0,28.0,51.0,11.0,49.0,16.0,7.0,2.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,121.0,130.0,130.0,10-25%,26-50%,>75%,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,For some classes,For some classes,Not for any classes,Not for any classes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,,Very little,Not at all,Not at all,Not at all,Very little,Very little,Very little,Very little,Not at all,Not at all,Very little,Not at all,Not at all,Very little,Very little,Not at all,Very little,Very little,Not at all,1.0,Minority of Parents,20.0,15.0,25.0,100.0,5.0,15.0,2.0,0.0,0.0,2.0,10.0,0.0,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Yes,Yes,No,Yes,A small change,A small change,A small change,A small change,A large change,A moderate change,A moderate change,Always,Sometimes,Always,Sometimes,Never,Never,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,Once a week,3-4 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,Once a month,Once a month,3-4 times during the year,3-4 times during the year,1-2 times during the year,Once a month,Did not occur,3-4 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,15.0,15.0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Not likely,Not likely,Very likely,Not likely,Not likely,Not likely,Not available,No,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No,No,No,No,0.0,0.0,One of these forms of ability grouping between classes for s,4.0,28.0,1.0,3.0,-0.9829,-0.5037,-0.8842,-1.4684,2.0,,0.489,0.681,0.75,0.096,0.687,1.074,0.03,-0.23,0.3196,2.0,At least one always considered,1139.0,1.3052,0.7524,142.375,13.723,0.6173,0.702,0.7801,0.0826,-0.2817,0.6468,87.7323,7.7166,22NOV13
7525,France,2500000,FRA0005,OECD,France ,9,Public,,,,,Village,One Other,3,223.0,256.0,22.0,15.0,22.0,10.0,,,3.0,2.0,,1.0,,1.0,0.0,0.0,0.0,0.0,102.0,40.0,40.0,10-25%,10-25%,10-25%,Not at all,Not at all,Not at all,Very little,Very little,Very little,Not at all,Not at all,Very little,Very little,To some extent,To some extent,To some extent,Not for any classes,Not for any classes,For some classes,Not for any classes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Remedial only,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Very little,A lot,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,10.0,Minority of Parents,20.0,50.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,No,No,No,Yes,A small change,No change,A small change,No change,A moderate change,A moderate change,A moderate change,Sometimes,Never,Never,Sometimes,Sometimes,Always,Sometimes,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,Once a month,1-2 times during the year,3-4 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,3-4 times during the year,Once a month,3-4 times during the year,3-4 times during the year,Did not occur,Once a month,3-4 times during the year,3-4 times during the year,3-4 times during the year,Did not occur,1-2 times during the year,Did not occur,Did not occur,1-2 times during the year,0.0,0.0,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Likely,Not likely,Not available,No,Not at all,Not at all,Not at all,Not at all,1-4 hours a year,,Not at all,Yes,No,No,No,0.0,0.0,No ability grouping between any classes,5.0,23.0,1.0,2.0,-0.6467,-1.2063,-0.6241,-1.4684,2.0,Either enrichment and remedial,0.534,0.915,,0.136,,0.392,-0.43,-0.56,-0.3533,3.0,At least one sometimes but neither always,479.0,-1.0894,0.224,119.75,16.237,-0.1621,-0.6748,0.2924,-0.7371,-0.2817,-0.5953,107.3,9.4377,22NOV13
7526,France,2500000,FRA0005,OECD,France ,10,Public,,,,,Village,No Others,3,189.0,182.0,28.0,4.0,22.0,4.0,6.0,,2.0,2.0,2.0,2.0,,,,,,,83.0,50.0,50.0,26-50%,10-25%,10-25%,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,Not at all,Very little,Very little,Not at all,Not at all,Not at all,For some classes,For some classes,For some classes,For some classes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Remedial only,Very little,Not at all,Very little,Not at all,Very little,Very little,Not at all,Very little,Very little,Very little,To some extent,Not at all,Not at all,Very little,Very little,Very little,To some extent,Not at all,Very little,10.0,Largely absent,30.0,60.0,60.0,60.0,30.0,30.0,,,,20.0,,,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,No,No,No,Yes,No change,No change,No change,A moderate change,A moderate change,No change,A moderate change,Never,Never,Never,Sometimes,Never,Always,Never,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,More than once a week,More than once a week,1-2 times during the year,3-4 times during the year,3-4 times during the year,More than once a week,More than once a week,Once a month,More than once a week,Once a month,More than once a week,,More than once a week,3-4 times during the year,More than once a week,3-4 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,30.0,0.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Not likely,Likely,Very likely,Likely,Not likely,Not likely,Not available,No,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No,No,No,No,0.0,0.0,One of these forms of ability grouping between classes for s,6.0,23.0,1.0,3.0,0.1329,0.493,1.7628,0.5896,1.0,Either enrichment and remedial,0.491,0.8,,0.1,0.2,0.602,-0.25,-0.56,-0.6029,3.0,Two factors are never considered,371.0,1.3052,0.4606,123.667,12.367,0.6173,-0.6748,-0.1437,-1.8308,-1.0911,-0.2762,107.3,9.4377,22NOV13
