,CNT,SUBNATIO,STRATUM,OECD,NC,SCHOOLID,SC01Q01,SC02Q01,SC02Q02,SC02Q03,SC02Q04,SC03Q01,SC04Q01,SC05Q01,SC07Q01,SC07Q02,SC09Q11,SC09Q12,SC09Q21,SC09Q22,SC09Q31,SC09Q32,SC10Q11,SC10Q12,SC10Q61,SC10Q62,SC10Q21,SC10Q22,SC10Q41,SC10Q42,SC10Q51,SC10Q52,SC11Q01,SC11Q02,SC11Q03,SC13Q01,SC13Q02,SC13Q03,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC14Q12,SC14Q13,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC16Q05,SC16Q06,SC16Q07,SC16Q08,SC16Q09,SC16Q10,SC16Q11,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC20Q01,SC21Q05,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC22Q07,SC22Q08,SC22Q09,SC22Q10,SC22Q11,SC22Q12,SC22Q13,SC22Q14,SC22Q15,SC22Q16,SC22Q17,SC22Q18,SC22Q19,SC23Q01,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC25Q04,SC25Q05,SC25Q06,SC25Q07,SC25Q08,SC25Q09,SC25Q10,SC25Q11,SC25Q12,SC26Q01,SC26Q02,SC26Q03,SC26Q04,SC27Q01,SC27Q02,SC28Q01,SC28Q02,SC29Q01,SC29Q02,SC30Q01,SC30Q02,SC30Q03,SC30Q04,SC31Q01,SC31Q02,SC31Q03,SC31Q04,SC31Q05,SC31Q06,SC31Q07,SC32Q01,SC32Q03,SC32Q04,SC32Q05,SC32Q06,SC32Q07,SC32Q08,SC33Q01A,SC33Q01B,SC33Q01C,SC33Q01D,SC33Q01E,SC33Q02A,SC33Q02B,SC33Q02C,SC33Q02D,SC33Q02E,SC33Q03A,SC33Q03B,SC33Q03C,SC33Q03D,SC33Q03E,SC33Q04A,SC33Q04B,SC33Q04C,SC33Q04D,SC33Q04E,SC33Q05A,SC33Q05B,SC33Q05C,SC33Q05D,SC33Q05E,SC33Q06A,SC33Q06B,SC33Q06C,SC33Q06D,SC33Q06E,SC33Q07A,SC33Q07B,SC33Q07C,SC33Q07D,SC33Q07E,SC33Q08A,SC33Q08B,SC33Q08C,SC33Q08D,SC33Q08E,SC33Q09A,SC33Q09B,SC33Q09C,SC33Q09D,SC33Q09E,SC33Q10A,SC33Q10B,SC33Q10C,SC33Q10D,SC33Q10E,SC33Q11A,SC33Q11B,SC33Q11C,SC33Q11D,SC33Q11E,SC33Q12A,SC33Q12B,SC33Q12C,SC33Q12D,SC33Q12E,SC34Q01,SC34Q02,SC34Q03,SC34Q04,SC34Q05,SC34Q06,SC34Q07,SC34Q08,SC34Q09,SC34Q10,SC34Q11,SC34Q12,SC34Q13,SC34Q14,SC34Q15,SC34Q16,SC34Q17,SC34Q18,SC34Q19,SC34Q20,SC34Q22,SC35Q01,SC35Q02,SC39Q01,SC39Q02,SC39Q03,SC39Q05,SC39Q06,SC39Q07,SC39Q08,SC39Q09,SC39Q10,SC40Q01,SC40Q02,SC40Q03,SC44Q01,SC44Q02,SC44Q03,SC44Q04,SC44Q05,SC44Q06,SC47Q01,SC45Q01,SC46Q01,SC46Q02,SC46Q03,SC46Q05,SC46Q04,SC46Q06,SC46Q09,SC52Q01,SC46Q07,SC46Q08,SC52Q02,SC51Q01,SC51Q02,ABGMATH,ASSESS,CLSIZE,COMPWEB,CREACTIV,LEADCOM,LEADINST,LEADPD,LEADTCH,MACTIV,MATHEXC,PCGIRLS,PROPCERT,PROPMA5A,PROPMATH,PROPQUAL,RATCMP15,RESPCUR,RESPRES,SCHAUTON,SCHLTYPE,SCHSEL,SCHSIZE,SCMATBUI,SCMATEDU,SMRATIO,STRATIO,STUDCLIM,TCFOCST,TCHPARTI,TCMORALE,TCSHORT,TEACCLIM,W_FSCHWT,SENWGT_SCQ,VER_SCQ
5527,Germany,2760000,DEU0215,OECD,Germany,1,Public,85.0,10.0,5.0,0.0,Small Town,One Other,3,321.0,267.0,26.0,16.0,26.0,16.0,,,8.0,3.0,8.0,3.0,8.0,3.0,,,0.0,0.0,113.0,35.0,32.0,<10%,10-25%,51-75%,To some extent,Very little,Not at all,Very little,Not at all,Very little,Very little,Very little,Very little,Not at all,Not at all,Not at all,Not at all,For some classes,For some classes,Not for any classes,For some classes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,To some extent,Very little,Very little,Very little,1.0,Minority of Parents,15.0,15.0,25.0,40.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,5.0,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,No,No,No,No change,No change,A small change,A small change,A moderate change,A moderate change,A small change,Always,Always,Never,Sometimes,Never,Sometimes,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,3-4 times during the year,3-4 times during the year,3-4 times during the year,3-4 times during the year,Once a month,Once a month,Once a month,Once a month,Once a week,Once a week,Once a week,1-2 times during the year,Once a week,1-2 times during the year,Once a month,3-4 times during the year,Once a month,3-4 times during the year,Did not occur,Once a month,Did not occur,8.0,20.0,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,4.0,23.0,0.914,1.0,-0.6467,0.2753,0.1183,0.2118,1.0,,0.454,1.0,1.0,0.279,,0.31,1.44,-0.7,-0.6029,3.0,At least one always considered,588.0,1.3052,0.224,61.895,17.294,0.0882,0.0095,1.2429,-0.7371,0.7093,-0.5953,33.3707,2.4438,22NOV13
5528,Germany,2760000,DEU0102,OECD,Germany,2,Public,95.0,0.0,3.0,2.0,Town,One Other,4,624.0,559.0,61.0,38.0,61.0,34.0,,,12.0,6.0,12.0,6.0,12.0,6.0,,,0.0,0.0,160.0,34.0,34.0,10-25%,<10%,26-50%,To some extent,Very little,Not at all,To some extent,Not at all,Very little,Very little,Not at all,To some extent,Very little,Not at all,Not at all,A lot,Not for any classes,Not for any classes,Not for any classes,For some classes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,,To some extent,Very little,To some extent,Very little,Very little,To some extent,Very little,To some extent,Not at all,Not at all,To some extent,Very little,Not at all,Very little,To some extent,To some extent,Not at all,Very little,Very little,1.0,Minority of Parents,30.0,20.0,30.0,15.0,7.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Yes,No,Yes,No,No change,A small change,A moderate change,A moderate change,A small change,No change,A small change,Sometimes,Never,Always,Sometimes,Always,Always,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,,Once a month,3-4 times during the year,3-4 times during the year,Once a month,3-4 times during the year,More than once a week,3-4 times during the year,1-2 times during the year,Once a week,More than once a week,More than once a week,1-2 times during the year,Once a month,Once a week,Once a week,3-4 times during the year,Once a month,3-4 times during the year,Did not occur,3-4 times during the year,Did not occur,16.0,25.0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Very likely,Not likely,Not likely,Likely,Very likely,Likely,,,,,,,,,,,,,,,,No ability grouping between any classes,4.0,28.0,1.0,3.0,0.3404,0.0432,-0.3717,0.6907,2.0,,0.473,0.975,1.0,0.188,,0.213,-0.43,-0.65,-0.3533,3.0,At least one sometimes but neither always,1183.0,-0.1662,0.018,78.867,14.788,-1.0211,0.702,0.2924,0.8541,0.9454,-0.2762,26.0165,1.9052,22NOV13
5529,Germany,2760000,DEU0213,OECD,Germany,3,Public,100.0,0.0,0.0,0.0,Town,Two or More,3,167.0,202.0,22.0,22.0,22.0,22.0,,,5.0,3.0,5.0,3.0,0.0,0.0,,,0.0,0.0,48.0,30.0,30.0,<10%,10-25%,26-50%,Not at all,Very little,Not at all,Very little,Not at all,Very little,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Very little,For all classes,Not for any classes,For some classes,Not for any classes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Remedial only,Very little,Not at all,Very little,Very little,Not at all,Very little,Very little,Very little,To some extent,Very little,To some extent,Not at all,Very little,Very little,Not at all,Very little,Very little,Very little,Very little,,Minority of Parents,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Yes,Yes,Yes,No,No change,No change,A small change,No change,A small change,No change,A small change,Always,Always,Never,Always,Never,Sometimes,Never,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,Once a month,Once a month,1-2 times during the year,1-2 times during the year,1-2 times during the year,Once a month,1-2 times during the year,Did not occur,1-2 times during the year,Once a month,3-4 times during the year,1-2 times during the year,1-2 times during the year,Did not occur,1-2 times during the year,Did not occur,1-2 times during the year,Did not occur,Did not occur,1-2 times during the year,1-2 times during the year,3.0,50.0,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Not likely,Likely,Not likely,Not likely,Likely,Not likely,,,,,,,,,,,,,,,,One of these forms of ability grouping for all classes,4.0,23.0,1.0,3.0,-1.3694,-1.2063,-2.0431,-0.6535,3.0,Either enrichment and remedial,0.547,1.0,0.0,0.197,,0.625,-0.81,-0.7,-0.8313,3.0,At least one always considered,369.0,0.5582,0.7524,56.769,11.182,0.3493,-1.2132,-0.5646,-0.7371,0.1524,-0.4382,112.799,8.2605,22NOV13
5530,Germany,2760000,DEU0101,OECD,Germany,4,Private,45.0,55.0,0.0,0.0,Town,Two or More,3,144.0,143.0,20.0,15.0,,,,,9.0,0.0,,,9.0,,,,,,48.0,27.0,27.0,10-25%,,>75%,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,To some extent,Very little,Not at all,Not at all,Not at all,For all classes,Not for any classes,Not for any classes,For all classes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Both enrichment and remedial,Not at all,Not at all,Very little,Very little,Not at all,Very little,Not at all,Very little,Very little,Very little,To some extent,Very little,Very little,Not at all,Not at all,Very little,Very little,Very little,Very little,0.0,Largely absent,5.0,2.0,10.0,10.0,30.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Yes,Yes,No,No,No change,No change,No change,No change,No change,No change,No change,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,Did not occur,3-4 times during the year,1-2 times during the year,1-2 times during the year,3-4 times during the year,3-4 times during the year,1-2 times during the year,Did not occur,3-4 times during the year,More than once a week,More than once a week,3-4 times during the year,3-4 times during the year,1-2 times during the year,Did not occur,Did not occur,3-4 times during the year,3-4 times during the year,Did not occur,1-2 times during the year,1-2 times during the year,10.0,0.0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,One of these forms of ability grouping for all classes,3.0,23.0,1.0,3.0,-1.3694,-1.2063,-1.4262,0.9477,3.0,Both enrichment and remedial,0.498,,1.0,0.327,,0.563,-0.43,-0.56,-0.3533,1.0,At least one always considered,287.0,1.3052,-0.1702,31.889,10.436,0.8936,0.702,0.7801,0.8541,0.7093,-0.2762,68.5855,5.0226,22NOV13
5531,Germany,2760000,DEU0210,OECD,Germany,5,Public,100.0,,,,Town,Two or More,4,337.0,250.0,21.0,11.0,21.0,11.0,,,3.0,5.0,3.0,5.0,2.0,5.0,,,,,114.0,36.0,36.0,<10%,26-50%,51-75%,Very little,Not at all,Not at all,Not at all,To some extent,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,For some classes,For some classes,Not for any classes,For some classes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,,Not at all,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,Not at all,0.0,Minority of Parents,40.0,30.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Yes,No,Yes,Yes,No change,No change,A small change,A small change,A moderate change,A small change,A small change,Sometimes,Always,Never,Sometimes,Never,Always,Never,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,Once a month,Once a week,Once a month,Once a week,Once a week,Once a month,Once a month,Once a month,1-2 times during the year,Once a week,Once a week,1-2 times during the year,Once a week,3-4 times during the year,1-2 times during the year,1-2 times during the year,1-2 times during the year,Once a month,Did not occur,Did not occur,1-2 times during the year,25.0,100.0,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,5.0,28.0,1.0,2.0,0.7162,0.493,-0.6241,0.2118,1.0,,0.426,1.0,0.818,0.208,,0.316,-0.53,-0.56,-0.6029,3.0,At least one always considered,587.0,1.3052,0.224,106.727,22.151,1.1879,-0.6748,-0.5646,0.8541,-0.2817,1.9386,38.1408,2.7931,22NOV13
5532,Germany,2760000,DEU0106,OECD,Germany,6,Public,100.0,0.0,0.0,0.0,Large City,One Other,3,250.0,301.0,40.0,24.0,40.0,20.0,,,10.0,4.0,10.0,4.0,9.0,4.0,,,0.0,0.0,81.0,60.0,60.0,<10%,<10%,<10%,To some extent,To some extent,Not at all,To some extent,To some extent,Very little,Very little,To some extent,Very little,Not at all,To some extent,A lot,A lot,Not for any classes,Not for any classes,For all classes,Not for any classes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Remedial only,To some extent,To some extent,To some extent,Very little,To some extent,A lot,Very little,To some extent,Very little,Very little,To some extent,To some extent,To some extent,Very little,To some extent,Very little,Very little,Very little,Very little,2.0,Largely absent,5.0,10.0,1.0,90.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Yes,No,Yes,No,No change,No change,No change,No change,A small change,A small change,A small change,Never,Never,Never,Never,Always,Always,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,More than once a week,Once a month,Once a month,Once a week,Once a month,More than once a week,More than once a week,More than once a week,More than once a week,More than once a week,Once a week,1-2 times during the year,Once a week,Once a month,3-4 times during the year,3-4 times during the year,Once a month,1-2 times during the year,Did not occur,Once a month,1-2 times during the year,4.0,10.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Likely,,,,,,,,,,,,,,,,,No ability grouping between any classes,,23.0,1.0,3.0,0.7162,1.1806,1.0394,0.4499,1.0,Either enrichment and remedial,0.546,0.962,0.917,0.231,,0.741,-0.81,-0.65,-0.3533,3.0,Two factors are never considered,551.0,-1.9349,-0.3482,45.917,10.596,-1.5516,-0.6748,0.2924,-0.7371,1.1868,-1.0394,45.6284,3.3414,22NOV13
5533,Germany,2760000,DEU0217,OECD,Germany,7,Public,100.0,,,,Small Town,No Others,1,127.0,60.0,22.0,6.0,22.0,6.0,,,,,,,,,,,,,13.0,13.0,13.0,10-25%,<10%,10-25%,Very little,Very little,Very little,Very little,To some extent,Very little,Very little,Not at all,Not at all,Not at all,Not at all,Not at all,Very little,For some classes,For some classes,For some classes,For some classes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Remedial only,To some extent,Not at all,To some extent,Not at all,To some extent,To some extent,Not at all,To some extent,,Very little,A lot,To some extent,Not at all,Not at all,To some extent,Very little,Not at all,Not at all,Very little,100.0,Minority of Parents,89.0,11.0,,,12.0,3.0,0.0,5.0,1.0,0.0,20.0,0.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,Strongly disagree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,More than once a week,,Once a month,1-2 times during the year,1-2 times during the year,More than once a week,More than once a week,More than once a week,More than once a week,Once a week,Once a week,1-2 times during the year,Once a week,1-2 times during the year,,1-2 times during the year,3-4 times during the year,Once a month,Did not occur,1-2 times during the year,1-2 times during the year,50.0,50.0,Yes,Yes,Yes,No,Yes,No,Yes,No,,Yes,Yes,Yes,Not likely,Not likely,,,,,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,3.0,13.0,1.0,3.0,-0.8668,0.7066,1.0394,0.2118,2.0,Either enrichment and remedial,0.321,1.0,,,,1.0,-0.25,-0.7,-1.0532,3.0,,187.0,0.5582,0.224,,7.48,-0.6182,-0.6748,-1.0488,1.4452,0.7093,-0.4561,114.6644,8.3971,22NOV13
5534,Germany,2760000,DEU0216,OECD,Germany,8,Public,95.0,0.0,2.0,3.0,Village,Two or More,3,169.0,149.0,14.0,17.0,,,,,5.0,2.0,,,1.0,1.0,,,4.0,1.0,50.0,20.0,16.0,26-50%,51-75%,>75%,Very little,Not at all,Not at all,To some extent,To some extent,Very little,To some extent,Very little,To some extent,To some extent,A lot,To some extent,A lot,For all classes,For some classes,Not for any classes,For all classes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Very little,Not at all,Very little,A lot,Not at all,Not at all,Not at all,Very little,Very little,Very little,Not at all,Very little,1.0,Minority of Parents,25.0,60.0,20.0,30.0,0.0,10.0,0.0,25.0,0.0,2.0,5.0,0.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,No change,No change,A small change,A small change,A small change,No change,A small change,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,,Once a month,3-4 times during the year,3-4 times during the year,3-4 times during the year,1-2 times during the year,Once a month,Once a month,3-4 times during the year,Once a week,Once a month,Once a month,1-2 times during the year,Once a week,1-2 times during the year,1-2 times during the year,3-4 times during the year,1-2 times during the year,Once a month,Once a month,3-4 times during the year,3-4 times during the year,15.0,80.0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Likely,Not likely,Likely,Not likely,Likely,,,,,,,,,,,,,,,,,One of these forms of ability grouping for all classes,6.0,23.0,0.8,3.0,-0.6467,-0.5037,0.1183,-0.3206,1.0,,0.469,,0.25,0.267,,0.4,0.87,-0.7,-0.6029,3.0,At least one sometimes but neither always,318.0,-1.9349,-0.87,53.0,14.133,-0.1621,-0.6748,0.2924,-0.7371,0.4567,0.0647,59.3148,4.3437,22NOV13
5535,Germany,2760000,DEU0210,OECD,Germany,9,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.81,-0.36,,,,,,,,,,,,,,,20.6983,1.5158,22NOV13
5536,Germany,2760000,DEU0102,OECD,Germany,10,Public,100.0,,,,Small Town,No Others,4,463.0,457.0,51.0,18.0,51.0,18.0,,,11.0,1.0,11.0,1.0,10.0,1.0,,,,,116.0,32.0,32.0,<10%,26-50%,51-75%,Very little,Not at all,Not at all,Very little,Not at all,Not at all,Very little,Not at all,Very little,Not at all,Not at all,Not at all,Not at all,For some classes,For some classes,For all classes,For some classes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Remedial only,Very little,Very little,To some extent,Very little,Very little,Very little,Not at all,Very little,Very little,Very little,To some extent,Very little,Very little,Very little,To some extent,Not at all,Not at all,Not at all,Very little,0.0,Largely absent,60.0,10.0,60.0,30.0,0.0,5.0,0.0,10.0,5.0,3.0,0.0,0.0,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Yes,No,Yes,No,No change,A small change,A moderate change,A moderate change,,,A moderate change,Always,Always,Never,Never,Never,Never,Never,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,,Once a month,Once a month,3-4 times during the year,Once a week,1-2 times during the year,Once a week,3-4 times during the year,1-2 times during the year,3-4 times during the year,More than once a week,3-4 times during the year,Did not occur,Once a month,Once a month,1-2 times during the year,1-2 times during the year,Once a month,3-4 times during the year,Did not occur,Once a week,3-4 times during the year,10.0,60.0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Not likely,Not likely,Not likely,Not likely,Not likely,Not likely,,,,,,,,,,,,,,,,One of these forms of ability grouping between classes for s,,28.0,1.0,3.0,0.5331,-0.5037,-0.8842,-0.3206,3.0,Either enrichment and remedial,0.497,1.0,0.913,0.192,,0.276,-0.53,-0.7,-0.8313,3.0,At least one always considered,920.0,1.3052,0.7524,80.0,15.333,-0.1621,-0.6748,0.2924,0.4686,0.1524,-0.2762,30.7242,2.25,22NOV13
