,CNTRYID,CNT,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC002Q01TA,SC002Q02TA,SC003Q01TA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q05NA,SC053Q06NA,SC053Q07TA,SC053Q08TA,SC053Q09TA,SC053Q10TA,SC053D11TA,SC059Q01NA,SC059Q02NA,SC059Q03NA,SC059Q04NA,SC059Q05NA,SC059Q06NA,SC059Q07NA,SC059Q08NA,SC052Q01NA,SC052Q02NA,SC009Q01TA,SC009Q02TA,SC009Q03TA,SC009Q04TA,SC009Q05TA,SC009Q06TA,SC009Q07TA,SC009Q08TA,SC009Q09TA,SC009Q10TA,SC009Q11TA,SC009Q12TA,SC009Q13TA,SC010Q01TA,SC010Q01TB,SC010Q01TC,SC010Q01TD,SC010Q01TE,SC010Q02TA,SC010Q02TB,SC010Q02TC,SC010Q02TD,SC010Q02TE,SC010Q03TA,SC010Q03TB,SC010Q03TC,SC010Q03TD,SC010Q03TE,SC010Q04TA,SC010Q04TB,SC010Q04TC,SC010Q04TD,SC010Q04TE,SC010Q05TA,SC010Q05TB,SC010Q05TC,SC010Q05TD,SC010Q05TE,SC010Q06TA,SC010Q06TB,SC010Q06TC,SC010Q06TD,SC010Q06TE,SC010Q07TA,SC010Q07TB,SC010Q07TC,SC010Q07TD,SC010Q07TE,SC010Q08TA,SC010Q08TB,SC010Q08TC,SC010Q08TD,SC010Q08TE,SC010Q09TA,SC010Q09TB,SC010Q09TC,SC010Q09TD,SC010Q09TE,SC010Q10TA,SC010Q10TB,SC010Q10TC,SC010Q10TD,SC010Q10TE,SC010Q11TA,SC010Q11TB,SC010Q11TC,SC010Q11TD,SC010Q11TE,SC010Q12TA,SC010Q12TB,SC010Q12TC,SC010Q12TD,SC010Q12TE,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC013Q01TA,SC014Q01NA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC019Q01NA01,SC019Q01NA02,SC019Q02NA01,SC019Q02NA02,SC019Q03NA01,SC019Q03NA02,SC025Q01NA,SC025Q02NA,SC027Q01NA,SC027Q02NA,SC027Q03NA,SC027Q04NA,SC032Q01TA,SC032Q02TA,SC032Q03TA,SC032Q04TA,SC034Q01NA,SC034Q02NA,SC034Q03TA,SC034Q04TA,SC035Q01NA,SC035Q01NB,SC035Q02TA,SC035Q02TB,SC035Q03TA,SC035Q03TB,SC035Q04TA,SC035Q04TB,SC035Q05TA,SC035Q05TB,SC035Q06TA,SC035Q06TB,SC035Q07TA,SC035Q07TB,SC035Q08TA,SC035Q08TB,SC035Q09NA,SC035Q09NB,SC035Q10TA,SC035Q10TB,SC035Q11NA,SC035Q11NB,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC040Q02NA,SC040Q03NA,SC040Q05NA,SC040Q11NA,SC040Q12NA,SC040Q15NA,SC040Q16NA,SC040Q17NA,SC041Q01NA,SC041Q03NA,SC041Q04NA,SC041Q05NA,SC041Q06NA,SC042Q01TA,SC042Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC063Q02NA,SC063Q03NA,SC063Q04NA,SC063Q06NA,SC063Q07NA,SC063Q09NA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SCHSIZE,CLSIZE,RATCMP1,RATCMP2,LEAD,LEADCOM,LEADINST,LEADPD,LEADTCH,RESPCUR,RESPRES,SCHAUT,TEACHPART,EDUSHORT,STAFFSHORT,PROAT5AB,PROAT5AM,PROAT6,PROATCE,TOTAT,PROSTAT,PROSTCE,PROSTMAS,TOTST,CREACTIV,SCIERES,STUBEHA,TEACHBEHA,STRATIO,SCHLTYPE,W_SCHGRNRABWT,SENWT,VER_DAT
0,276.0,DEU,27600001.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,9999997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.718858824,35.94563,15NOV16:14:59:10
1,276.0,DEU,27600002.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,,,,,,,,,,,,,,,,,,,,,9999997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.040542857,10.64133,15NOV16:14:59:10
2,276.0,DEU,27600003.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,188.0,198.0,3.0,67.0,18.0,18.0,0.0,25.0,25.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,9999997.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,6.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,,80.0,,20.0,,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,10.0,14.0,10.0,14.0,0.0,0.0,10.0,14.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,75.0,50.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,,2.0,,1.0,2.0,2.0,,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,30.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,41.0,,5.0,386.0,23.0,0.2687,1.0,-0.4727,-2.0963,-0.4745,0.6203,-0.2263,0.9105,-0.7644,0.67,4.0,0.4084,0.8677,0.0,1.0,0.0,1.0,17.0,0.3235,1.0,1.0,5.5,1.0,3.0,1.3542,-0.4866,22.7059,3.0,47.714084848,18.10741,15NOV16:14:59:10
3,276.0,DEU,27600004.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,410.0,315.0,4.0,112.0,25.0,25.0,1.0,3.0,20.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,9999997.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,60.0,,20.0,20.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,41.0,24.0,39.0,23.0,2.0,1.0,41.0,24.0,3.0,2.0,6.0,4.0,6.0,4.0,6.0,4.0,7.0,16.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,3.0,2.0,5.0,15.0,15.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,10.0,20.0,,15.0,725.0,28.0,0.2232,1.0,0.6522,0.1751,1.0154,-0.1082,1.0061,-0.6097,-0.5533,0.58,3.0,1.177,0.4783,0.0472,1.0,0.0755,0.9528,53.0,0.1509,1.0,1.0,8.0,3.0,3.0,-0.5703,0.8718,13.6792,3.0,31.779281905,12.06018,15NOV16:14:59:10
4,276.0,DEU,27600005.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,255.0,286.0,4.0,115.0,50.0,50.0,20.0,0.0,10.0,20.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9999997.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,,,,1.0,3.0,1.0,2.0,,1.0,,100.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,17.0,20.0,15.0,20.0,15.0,20.0,16.0,0.0,0.0,4.0,5.0,4.0,5.0,0.0,0.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,14.0,5.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,80.0,10.0,10.0,541.0,28.0,0.4348,1.0,1.7765,1.1008,1.6178,1.8133,1.0919,-0.4196,-0.6061,0.67,7.0,-1.2541,0.1038,0.9649,0.9825,0.0,0.9649,28.5,0.2281,1.0,0.0,6.5,2.0,6.0,-0.3334,-0.3142,18.9825,3.0,31.266419417,11.86555,15NOV16:14:59:10
5,276.0,DEU,27600006.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,586.0,640.0,4.0,152.0,141.0,76.0,65.0,2.0,20.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9999997.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,,2.0,1.0,1.0,3.0,2.0,3.0,,1.0,,100.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,75.0,25.0,0.0,0.0,1.0,0.0,74.0,25.0,7.0,2.0,33.0,6.0,0.0,0.0,33.0,6.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,12.0,,9.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,68.0,80.0,10.0,5.0,1226.0,28.0,0.9276,0.539,0.3015,-1.7773,0.834,0.5291,0.7544,-0.6572,-0.6061,0.67,5.0,-0.2684,-0.1049,0.0114,0.9886,0.0914,0.0,87.5,0.4114,0.0,1.0,36.0,3.0,5.0,0.0185,-0.1073,14.0114,3.0,21.458224204,8.14336,15NOV16:14:59:10
6,276.0,DEU,27600007.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,290.0,309.0,3.0,63.0,16.0,16.0,16.0,4.0,10.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9999997.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,4.0,3.0,2.0,5.0,4.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,,98.0,,,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,27.0,35.0,27.0,35.0,,1.0,27.0,34.0,,1.0,13.0,1.0,13.0,1.0,13.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,,1.0,,1.0,,1.0,,2.0,,2.0,,2.0,,2.0,,2.0,,1.0,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,10.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,40.0,15.0,20.0,20.0,599.0,23.0,0.254,1.0,-0.5933,0.1953,-1.0659,-0.4412,0.0904,-0.7997,-0.6941,0.42,0.0,0.5881,0.4864,0.0112,0.9888,0.0112,1.0,44.5,0.3034,1.0,1.0,13.5,2.0,5.0,0.0185,0.9122,13.4607,3.0,46.006302857,17.45931,15NOV16:14:59:10
7,276.0,DEU,27600008.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,209.0,172.0,3.0,70.0,52.0,50.0,2.0,0.0,6.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,9999997.0,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,6.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,,100.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,28.0,11.0,28.0,11.0,0.0,0.0,27.0,10.0,1.0,1.0,12.0,0.0,5.0,0.0,0.0,0.0,25.0,33.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,,,,,,,,,2.0,2.0,2.0,2.0,1.0,3.0,2.0,40.0,20.0,15.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,30.0,5.0,2.0,381.0,23.0,0.7429,0.9615,-1.4777,-0.632,-2.7996,-0.2168,-1.8514,0.0554,-0.6941,0.58,5.0,1.1926,-0.1241,0.0,0.9552,0.0448,1.0,33.5,0.3582,0.4167,0.0,12.0,1.0,2.0,0.3058,0.2857,11.3731,3.0,49.533987879,18.79806,15NOV16:14:59:10
8,276.0,DEU,27600009.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,2598.0,248.0,4.0,226.0,300.0,300.0,0.0,0.0,50.0,90.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9999997.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,6.0,5.0,5.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,,95.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,85.0,20.0,85.0,20.0,29.0,3.0,24.0,17.0,3.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,31.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,36.0,30.0,48.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,32.0,19.0,10.0,2.0,2846.0,28.0,1.3274,1.0,-0.3649,-1.7773,-0.1069,0.0231,0.331,1.4806,-0.3422,0.75,7.0,0.2208,0.7237,0.3211,0.3421,0.0316,1.0,95.0,0.1579,1.0,1.0,15.0,0.0,6.0,0.8947,0.2229,29.9579,3.0,78.557291667,29.81235,15NOV16:14:59:10
9,276.0,DEU,27600010.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,9999997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.713207547,23.42005,15NOV16:14:59:10
