,CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST_QQQ,ST016Q01NA,ST038Q01NA,ST038Q02NA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA
0,276.0,DEU,27600001.0,27605365.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0
1,276.0,DEU,27600001.0,27601858.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,1.0,1.0,1.0,,2.0
2,276.0,DEU,27600001.0,27602008.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
3,276.0,DEU,27600001.0,27601867.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0
4,276.0,DEU,27600001.0,27601457.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,2.0,1.0,1.0,1.0,1.0
5,276.0,DEU,27600001.0,27609865.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0
6,276.0,DEU,27600001.0,27607089.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,2.0,1.0,1.0,1.0,1.0
7,276.0,DEU,27600001.0,27606950.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,2.0
8,276.0,DEU,27600001.0,27611010.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,2.0,2.0,1.0,1.0,1.0,1.0
9,276.0,DEU,27600001.0,27601831.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
10,276.0,DEU,27600001.0,27601523.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,2.0,2.0,1.0,1.0,1.0,1.0
11,276.0,DEU,27600001.0,27600133.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,4.0,3.0,1.0,2.0,1.0,2.0
12,276.0,DEU,27600001.0,27607493.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0
13,276.0,DEU,27600001.0,27603259.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0
14,276.0,DEU,27600001.0,27609355.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,2.0,1.0,1.0,1.0,1.0,2.0
15,276.0,DEU,27600001.0,27607760.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,4.0,1.0,1.0,1.0,1.0
16,276.0,DEU,27600001.0,27609830.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,2.0,2.0,1.0,1.0,1.0,2.0
17,276.0,DEU,27600001.0,27607965.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,2.0,1.0,2.0
18,276.0,DEU,27600001.0,27606253.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,2.0,1.0,1.0,1.0,1.0
19,276.0,DEU,27600001.0,27608345.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0
20,276.0,DEU,27600001.0,27602971.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,2.0,1.0,1.0,1.0,1.0
21,276.0,DEU,27600001.0,27610315.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
22,276.0,DEU,27600001.0,27608304.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0
23,276.0,DEU,27600001.0,27607447.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0
24,276.0,DEU,27600001.0,27603352.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,2.0,2.0,1.0,2.0,1.0,2.0
25,276.0,DEU,27600001.0,27609117.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
26,276.0,DEU,27600001.0,27603939.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
27,276.0,DEU,27600001.0,27600320.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,0.0,,,1.0,4.0,1.0,2.0,1.0,1.0
28,276.0,DEU,27600002.0,27603644.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0
29,276.0,DEU,27600002.0,27605559.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0
30,276.0,DEU,27600002.0,27603940.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,,,,
31,276.0,DEU,27600002.0,27603008.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,2.0,3.0,1.0,1.0,1.0,1.0
32,276.0,DEU,27600002.0,27600495.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,2.0,1.0,3.0,3.0,1.0
33,276.0,DEU,27600002.0,27600540.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,1.0,1.0,1.0,1.0,1.0
34,276.0,DEU,27600002.0,27601261.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,2.0,1.0,1.0,2.0,1.0,1.0
35,276.0,DEU,27600002.0,27605635.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,2.0,1.0,1.0,1.0,1.0
36,276.0,DEU,27600002.0,27611238.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,2.0,2.0,1.0
37,276.0,DEU,27600002.0,27605569.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,
38,276.0,DEU,27600002.0,27610673.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,,,3.0,3.0,1.0,1.0,1.0,3.0
39,276.0,DEU,27600002.0,27611401.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,
40,276.0,DEU,27600002.0,27612346.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
41,276.0,DEU,27600002.0,27602421.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
42,276.0,DEU,27600002.0,27606691.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,1.0,1.0,1.0,1.0,1.0
43,276.0,DEU,27600002.0,27611760.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,2.0,1.0,1.0,1.0,1.0,2.0
44,276.0,DEU,27600002.0,27602149.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
45,276.0,DEU,27600002.0,27603504.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
46,276.0,DEU,27600002.0,27606824.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,1.0
47,276.0,DEU,27600002.0,27604052.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,2.0,2.0,2.0,1.0,1.0,4.0
48,276.0,DEU,27600002.0,27608956.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,4.0,1.0,1.0,1.0,1.0
49,276.0,DEU,27600002.0,27607363.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,3.0,1.0,1.0,1.0,1.0,2.0
50,276.0,DEU,27600002.0,27603944.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
51,276.0,DEU,27600002.0,27603275.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
52,276.0,DEU,27600002.0,27609084.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,2.0,1.0,1.0,1.0,1.0
53,276.0,DEU,27600002.0,27606575.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
54,276.0,DEU,27600002.0,27608019.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,2.0,1.0,1.0,1.0,1.0
55,276.0,DEU,27600002.0,27605522.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,5.0,,,1.0,1.0,1.0,1.0,1.0,2.0
56,276.0,DEU,27600002.0,27601605.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
57,276.0,DEU,27600003.0,27608211.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0
58,276.0,DEU,27600003.0,27603178.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0
59,276.0,DEU,27600003.0,27607856.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0
60,276.0,DEU,27600003.0,27601209.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,5.0,,,1.0,1.0,1.0,1.0,1.0,2.0
61,276.0,DEU,27600003.0,27610366.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0
62,276.0,DEU,27600003.0,27602625.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
63,276.0,DEU,27600003.0,27607226.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0
64,276.0,DEU,27600003.0,27605438.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,2.0
65,276.0,DEU,27600003.0,27600261.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0
66,276.0,DEU,27600003.0,27603348.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,2.0,1.0,1.0,1.0,1.0,1.0
67,276.0,DEU,27600003.0,27600876.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,0.0,,,4.0,4.0,3.0,3.0,4.0,4.0
68,276.0,DEU,27600003.0,27611772.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0
69,276.0,DEU,27600003.0,27610703.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,2.0,1.0,1.0,1.0,1.0
70,276.0,DEU,27600003.0,27609546.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,1.0,1.0,1.0,1.0,2.0
71,276.0,DEU,27600003.0,27610693.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,,,1.0,2.0,1.0,,1.0,1.0
72,276.0,DEU,27600003.0,27609432.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,5.0,,,1.0,2.0,1.0,1.0,1.0,1.0
73,276.0,DEU,27600003.0,27608779.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
74,276.0,DEU,27600003.0,27609474.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,3.0,1.0,1.0,1.0,1.0
75,276.0,DEU,27600003.0,27611158.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,1.0,,,2.0,2.0,1.0,3.0,1.0,4.0
76,276.0,DEU,27600003.0,27602640.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,2.0,1.0,1.0,1.0,1.0
77,276.0,DEU,27600003.0,27609385.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,1.0,1.0,1.0,1.0,2.0
78,276.0,DEU,27600003.0,27601030.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
79,276.0,DEU,27600003.0,27610340.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0
80,276.0,DEU,27600003.0,27606994.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,,,2.0,4.0,2.0,2.0,3.0,1.0
81,276.0,DEU,27600003.0,27601431.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,,,3.0,2.0,1.0,1.0,1.0,3.0
82,276.0,DEU,27600003.0,27600332.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0
83,276.0,DEU,27600004.0,27612004.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,7.0,,,1.0,1.0,1.0,1.0,1.0,1.0
84,276.0,DEU,27600004.0,27604726.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,6.0,,,1.0,2.0,1.0,1.0,1.0,1.0
85,276.0,DEU,27600004.0,27609167.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,1.0,,,3.0,3.0,1.0,1.0,1.0,3.0
86,276.0,DEU,27600004.0,27600775.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,9.0,,,1.0,2.0,1.0,2.0,1.0,1.0
87,276.0,DEU,27600004.0,27606595.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,,,4.0,4.0,3.0,4.0,3.0,4.0
88,276.0,DEU,27600004.0,27604657.0,06MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,8.0,,,1.0,4.0,1.0,1.0,1.0,1.0
