,CNTRYID,CNT,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC161Q01SA,SC161Q02SA,SC161Q03SA,SC161Q04SA,SC161Q05SA,SC162Q01SA,SC155Q01HA,SC155Q02HA,SC155Q03HA,SC155Q04HA,SC155Q05HA,SC155Q06HA,SC155Q07HA,SC155Q08HA,SC155Q09HA,SC155Q10HA,SC155Q11HA,SC156Q01HA,SC156Q02HA,SC156Q03HA,SC156Q04HA,SC156Q05HA,SC156Q06HA,SC156Q07HA,SC156Q08HA,SC011Q01TA,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC042Q01TA,SC042Q02TA,SC154Q01HA,SC154Q02WA,SC154Q03WA,SC154Q04WA,SC154Q05WA,SC154Q06WA,SC154Q07WA,SC154Q08WA,SC154Q09HA,SC154Q10WA,SC154Q11HA,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC165Q01HA,SC165Q02HA,SC165Q03HA,SC165Q04HA,SC165Q05HA,SC165Q06HA,SC165Q07HA,SC165Q08HA,SC165Q09HA,SC165Q10HA,SC166Q02HA,SC166Q03HA,SC166Q05HA,SC166Q06HA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC158Q01HA,SC158Q02HA,SC158Q04HA,SC158Q07HA,SC158Q08HA,SC158Q09HA,SC158Q12HA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q11HA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC002Q01TA,SC002Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC025Q01NA,SC159Q01HA,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC150Q01IA,SC150Q02IA,SC150Q03IA,SC150Q04IA,SC150Q05IA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC152Q01HA,SC160Q01WA,SC052Q01NA,SC052Q02NA,SC052Q03HA,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT,VER_DAT,BOOKID
7452,276.0,DEU,27600001.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999999,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,110.63971,3208.80023,42.4001,  29APR19:09:28:53,
7453,276.0,DEU,27600002.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,1.0,100.0,,,,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,398.0,431.0,18.0,3.0,27.0,107.0,42.0,42.0,10.0,16.0,14.0,12.0,43.0,15.0,43.0,15.0,0.0,0.0,43.0,15.0,0.0,0.0,27.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,276002,2.0,2.0,2.0,2.0,2.0,0.0,15.0,81.0,10.0,0.0,2.0,,1.0,1.0,1.0,missing,3.0,16.4158,829.0,0.3925,1.0,50.5,1.0,0.0,1.0,0.0,18.0,2.0,0.6221,0.1964,-0.1522,0.5642,-1.0542,31.96545,3176.73005,12.25002,  29APR19:09:28:53,
7454,276.0,DEU,27600003.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,1.0,100.0,,,,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,502.0,611.0,15.0,5.0,18.0,131.0,65.0,65.0,20.0,4.0,15.0,6.0,55.0,35.0,55.0,35.0,0.0,0.0,55.0,35.0,2.0,1.0,20.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,276001,1.0,2.0,2.0,2.0,2.0,0.0,60.0,30.0,5.0,5.0,2.0,,1.0,1.0,1.0,missing,3.0,15.3517,1113.0,0.4962,1.0,72.5,1.0,0.0,1.0,0.0345,28.0,3.0,0.8006,0.2833,0.8153,-0.5173,0.9042,28.21893,3355.94672,10.81425,  29APR19:09:28:53,
7455,276.0,DEU,27600004.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,1.0,95.0,,5.0,,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,295.0,327.0,5.0,,15.0,72.0,80.0,80.0,20.0,6.0,40.0,4.0,43.0,7.0,38.0,6.0,,,43.0,7.0,1.0,,40.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,276002,1.0,2.0,2.0,2.0,2.0,,25.0,25.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,missing,3.0,13.3763,622.0,1.1111,1.0,46.5,0.8817,,1.0,0.0215,23.0,3.0,0.6299,0.1757,-0.0384,0.2266,-0.3006,54.09538,3088.14238,20.7308,  29APR19:09:28:53,
7456,276.0,DEU,27600005.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,1.0,100.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,374.0,290.0,1.0,2.0,5.0,116.0,10.0,10.0,0.0,0.0,45.0,6.0,24.0,24.0,24.0,23.0,2.0,4.0,22.0,20.0,0.0,0.0,20.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,276002,2.0,1.0,2.0,2.0,2.0,3.0,40.0,40.0,8.0,,1.0,3.0,2.0,2.0,2.0,missing,3.0,18.4444,664.0,0.0862,1.0,36.0,0.9861,0.1111,0.8889,0.0,28.0,2.0,-1.4212,-1.4551,-0.0384,0.6015,0.9042,30.7867,3115.46876,11.79829,  29APR19:09:28:53,
7457,276.0,DEU,27600006.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,3.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,324.0,393.0,2.0,1.0,15.0,119.0,1.0,1.0,1.0,12.0,15.0,15.0,34.0,16.0,34.0,16.0,0.0,0.0,34.0,16.0,0.0,2.0,90.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,276001,2.0,2.0,2.0,2.0,2.0,0.0,10.0,95.0,3.0,0.0,2.0,,2.0,2.0,2.0,missing,3.0,17.0714,717.0,0.0084,1.0,42.0,1.0,0.0,1.0,0.0238,23.0,3.0,1.2478,-0.614,-0.1692,1.1913,-1.0542,26.71716,3830.67378,10.23873,  29APR19:09:28:53,
7458,276.0,DEU,27600007.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,1.0,99.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,301.0,149.0,6.0,10.0,16.0,43.0,40.0,26.0,15.0,2.0,11.0,12.0,22.0,29.0,22.0,27.0,22.0,29.0,22.0,27.0,5.0,3.0,80.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,276002,2.0,2.0,2.0,2.0,2.0,,46.0,53.0,8.0,16.0,2.0,,1.0,1.0,1.0,missing,3.0,12.3288,450.0,0.9302,0.65,36.5,0.9726,1.0,0.9726,0.1781,23.0,2.0,0.8339,0.592,-0.335,-0.5582,0.9042,88.51177,3905.2088,33.92008,  29APR19:09:28:53,
7459,276.0,DEU,27600008.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,1.0,98.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,300.0,253.0,88.0,8.0,90.0,136.0,36.0,36.0,0.0,8.0,7.0,3.0,41.0,17.0,41.0,14.0,0.0,3.0,41.0,14.0,0.0,0.0,25.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,276002,1.0,2.0,2.0,2.0,1.0,5.0,30.0,64.0,,,1.0,2.0,1.0,1.0,2.0,missing,3.0,11.1717,553.0,0.2647,1.0,49.5,0.9697,0.0303,0.9697,0.0,23.0,2.0,2.1861,0.4487,-0.5654,-0.4321,-0.1764,59.08195,3601.05011,22.64178,  29APR19:09:28:53,
7460,276.0,DEU,27600009.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,2.0,1.0,100.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,67.0,38.0,0.0,100.0,95.0,14.0,11.0,11.0,0.0,0.0,4.0,2.0,17.0,1.0,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,276002,2.0,2.0,2.0,2.0,2.0,5.0,1.0,89.0,13.0,,2.0,,1.0,2.0,2.0,missing,3.0,6.0,105.0,0.7857,1.0,17.5,0.6571,0.2857,0.0,0.0,13.0,1.0,-0.2488,-0.1798,0.6405,0.1875,0.9042,85.49733,1203.7733,32.76486,  29APR19:09:28:53,
7461,276.0,DEU,27600010.0,07MS,27600,27600.0,DEU9797,2760000,1.0,2.0,148.0,4.0,1.0,98.0,,2.0,,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,260.0,200.0,75.0,40.0,60.0,55.0,8.0,0.0,8.0,0.0,4.0,8.0,12.0,34.0,,,,,12.0,34.0,,,15.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,276002,2.0,2.0,2.0,2.0,2.0,,40.0,40.0,30.0,20.0,2.0,,2.0,2.0,2.0,missing,3.0,15.8621,460.0,0.1455,0.0,29.0,,,1.0,,28.0,1.0,0.5916,1.2805,0.9106,1.4277,-1.0542,60.00798,1839.78981,22.99666,  29APR19:09:28:53,
